
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      15      14 ]      0.028437   -0.005017957  0.9442   9000                                                                                                1437200 |              F
       2   [      20      12 ]      0.053592   -0.004734201  0.9431   9000   [      15      14 ]      0.028437   -0.005017957  0.9442     9000       1    2532800 |              F
       3   [      26      10 ]      0.080743   -0.041598770  0.9470   9000   [      15      14 ]      0.028437   -0.005017957  0.9442     9000       1    3382800 |              F
       4   [      40       5 ]      0.228779   -0.001053479  0.9427   9000   [      15      14 ]      0.028437   -0.005017957  0.9442     9000       1    4544000 |              F
       5   [      26      10 ]      0.080743   -0.041598770  0.9470   9000   [      15      14 ]      0.028437   -0.005017957  0.9442     9000       1    5431200 |              F
       6   [      20      12 ]      0.053592   -0.004734201  0.9431   9000   [      15      14 ]      0.028437   -0.005017957  0.9442     9000       1    6498000 |              F
       7   [       3      20 ]      0.012989   -0.000552764  0.9579  27000   [      15      14 ]      0.028350   -0.004013427  0.9558    27000       1    8175200 |              F
       8   [      50       2 ]      0.428375   -0.061632641  0.9620  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1    9859600 |              F
       9   [      15      14 ]      0.028350   -0.004013427  0.9558  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   11199600 |              F
      10   [      50       2 ]      0.428375   -0.061632641  0.9620  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   12887600 |              F
      11   [      13      15 ]      0.022618   -0.001505340  0.9540  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   13914800 |              F
      12   [      24      11 ]      0.065296   -0.002241412  0.9526  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   15535600 |              F
      13   [      24      11 ]      0.065296   -0.002241412  0.9526  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   17115600 |              F
      14                  NONE                                                               [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   17115600 |                                          -
      14   [      57       0 ]      1.000000  -11.000000000  1.0000  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   17306000 |              F
      15   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   18792400 |              F
      16   [      35       7 ]      0.160092   -0.011326793  0.9532  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   20160400 |              F
      17   [      20      12 ]      0.050271   -0.000205718  0.9522  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   21692000 |              F
      18   [       9      17 ]      0.015655   -0.000161144  0.9526  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   23082800 |              F
      19   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   24579600 |              F
      20   [      20      12 ]      0.050271   -0.000205718  0.9522  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   26126800 |              F
      21   [       3      20 ]      0.012989   -0.000552764  0.9579  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   27383200 |              F
      22   [      50       2 ]      0.428375   -0.061632641  0.9620  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   29074800 |              F
      23   [       3      20 ]      0.012989   -0.000552764  0.9579  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   30331200 |              F
      24   [       9      17 ]      0.015655   -0.000161144  0.9526  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   31634000 |              F
      25   [      26      10 ]      0.081893   -0.006371399  0.9534  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   32891600 |              F
      26   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   34273200 |              F
      27   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   35720000 |              F
      28                  NONE                                                               [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   35720000 |                                          -
      28   [      20      12 ]      0.050271   -0.000205718  0.9522  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   37214400 |              F
