
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      13      15 ]      0.022848   -0.003473123  0.9439   9000                                                                                                 587200 |              F
       2   [      15      14 ]      0.028437   -0.005017957  0.9442   9000   [      13      15 ]      0.022848   -0.003473123  0.9439     9000       1    2024400 |              F
       3   [      35       7 ]      0.157750   -0.009376501  0.9432   9000   [      13      15 ]      0.022848   -0.003473123  0.9439     9000       1    2986400 |              F
       4   [      50       2 ]      0.428221   -0.036477223  0.9483   9000   [      13      15 ]      0.022848   -0.003473123  0.9439     9000       1    4207200 |              F
       5   [      26      10 ]      0.080743   -0.041598770  0.9470   9000   [      13      15 ]      0.022848   -0.003473123  0.9439     9000       1    6648400 |              F
       6   [       7      18 ]      0.013898   -0.001308537  0.9578  27000   [      13      15 ]      0.022618   -0.001505340  0.9540    27000       1    8448000 |              F
       7   [      26      10 ]      0.081893   -0.006371399  0.9534  27000   [       7      18 ]      0.013898   -0.001308537  0.9578    27000       1    9595200 |              F
       8   [       5      19 ]      0.013236   -0.000807640  0.9579  27000   [       7      18 ]      0.013898   -0.001308537  0.9578    27000       1   10906400 |              F
       9   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   12504800 |              F
      10   [       7      18 ]      0.013898   -0.001308537  0.9578  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   13871600 |              F
      11   [      56       0 ]      1.000000  -11.000000000  1.0000  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   14106000 |              F
      12   [      26      10 ]      0.081893   -0.006371399  0.9534  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   15291600 |              F
      13   [      50       2 ]      0.428375   -0.061632641  0.9620  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   16979600 |              F
      14   [       9      17 ]      0.015655   -0.000161144  0.9526  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   18369200 |              F
      15   [       9      17 ]      0.015655   -0.000161144  0.9526  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   19691200 |              F
      16   [      24      11 ]      0.065296   -0.002241412  0.9526  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   21238800 |              F
      17   [      35       7 ]      0.160092   -0.011326793  0.9532  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   22626000 |              F
      18   [      35       7 ]      0.160092   -0.011326793  0.9532  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   24013200 |              F
      19   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   25570800 |              F
      20   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   27270400 |              F
      21   [       9      17 ]      0.015655   -0.000161144  0.9526  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   28666000 |              F
      22   [      20      12 ]      0.050271   -0.000205718  0.9522  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   30249200 |              F
      23   [       9      17 ]      0.015655   -0.000161144  0.9526  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   31640000 |              F
      24   [      15      14 ]      0.028350   -0.004013427  0.9558  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   32995600 |              F
      25   [      15      14 ]      0.028350   -0.004013427  0.9558  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   34314000 |              F
      26   [      20      12 ]      0.050271   -0.000205718  0.9522  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   35882800 |              F
      27   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   37368000 |              F
      28   [      40       5 ]      0.227644   -0.135658393  0.9682  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   38965200 |              F
      29   [      13      15 ]      0.022618   -0.001505340  0.9540  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   40908800 |              F
      30   [       3      20 ]      0.012989   -0.000552764  0.9579  27000   [       5      19 ]      0.013236   -0.000807640  0.9579    27000       1   42165200 |              F
      31   [      26      10 ]      0.081893   -0.006371399  0.9534  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   45140800 |              F
      32   [      24      11 ]      0.065296   -0.002241412  0.9526  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   46759200 |              F
      33   [      35       7 ]      0.160092   -0.011326793  0.9532  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   48145200 |              F
      34   [      35       7 ]      0.160092   -0.011326793  0.9532  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   49552800 |              F
      35   [      13      15 ]      0.022618   -0.001505340  0.9540  27000   [       3      20 ]      0.012989   -0.000552764  0.9579    27000       1   51502400 |              F
