
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      40       5 ]      0.215084   -0.074632371  0.9193    600                                                                                                 645400 |              F
       2   [      32       8 ]      0.113410   -0.134786353  0.9267    600   [      40       5 ]      0.215084   -0.074632371  0.9193      600       1    1313800 |              F
       3   [      26      10 ]      0.072758   -0.105776609  0.9292    600   [      32       8 ]      0.113410   -0.134786353  0.9267      600       1    1861400 |              F
       4   [       5      19 ]      0.013651   -0.001391443  0.9532  16200   [      26      10 ]      0.083183   -0.004918681  0.9484    16200       1    2952600 |              F
       5   [       5      19 ]      0.013651   -0.001391443  0.9532  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    4027600 |              F
       6   [      21      12 ]      0.053016   -0.001663249  0.9482  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    4698600 |              F
       7   [      17      13 ]      0.038631   -0.001577840  0.9485  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    5644200 |              F
       8   [      17      13 ]      0.038631   -0.001577840  0.9485  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    6559000 |              F
       9   [      32       8 ]      0.133926   -0.003517999  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    7127000 |              F
      10   [      15      14 ]      0.029023   -0.000425824  0.9481  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    7974600 |              F
      11   [      15      14 ]      0.029023   -0.000425824  0.9481  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    8855200 |              F
      12   [      12      15 ]      0.023137   -0.001529316  0.9491  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    9485000 |              F
      13   [      21      12 ]      0.053016   -0.001663249  0.9482  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   10160400 |              F
      14   [      12      16 ]      0.018343   -0.000255340  0.9481  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   11567800 |              F
      15   [      49       2 ]      0.430028   -0.006279034  0.9489  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   12840200 |              F
      16   [      26      10 ]      0.083183   -0.004918681  0.9484  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   13612600 |              F
      17   [      12      16 ]      0.018343   -0.000255340  0.9481  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   15020000 |              F
      18   [      17      13 ]      0.038631   -0.001577840  0.9485  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   15939200 |              F
      19   [       8      17 ]      0.016014   -0.002621229  0.9526  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   17366400 |              F
      20   [      49       2 ]      0.430028   -0.006279034  0.9489  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   18674000 |              F
      21   [      41       5 ]      0.229586   -0.141061657  0.9606  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   19617200 |              F
      22                  NONE                                                               [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   19617200 |                                          -
      22   [      12      16 ]      0.019370   -0.000946752  0.9491  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   20362000 |              F
      23   [      29       9 ]      0.108534   -0.002071601  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   21380800 |              F
      24   [       3      20 ]      0.013320   -0.001270541  0.9569  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   22365200 |              F
      25   [      56       0 ]      1.000000  -11.000000000  1.0000  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   22565600 |              F
      26   [      21      12 ]      0.049275   -0.005373001  0.9510  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   23665400 |              F
      27   [       6      18 ]      0.014604   -0.000358360  0.9506  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   24737800 |              F
      28   [      41       5 ]      0.233100   -0.027255127  0.9500  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   25582400 |              F
