
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      12      15 ]      0.017153   -0.002695307  0.9454   5400                                                                                                 640000 |              F
       2   [      26      10 ]      0.068442   -0.021565691  0.9583   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    1391800 |              F
       3   [      17      13 ]      0.030402   -0.003272376  0.9411   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    2174800 |              F
       4   [      15      14 ]      0.021848   -0.005316995  0.9450   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    3006200 |              F
       5   [      40       5 ]      0.219042   -0.005195475  0.9383   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    3697600 |              F
       6   [      31       8 ]      0.109233   -0.041407073  0.9551   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    4448800 |              F
       7   [      32       8 ]      0.109254   -0.041407073  0.9551   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    5160000 |              F
       8   [      26      10 ]      0.068442   -0.021565691  0.9583   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    5834800 |              F
       9   [      26      10 ]      0.068442   -0.021565691  0.9583   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    6423000 |              F
      10   [      40       5 ]      0.219042   -0.005195475  0.9383   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    7177200 |              F
      11   [      17      13 ]      0.030402   -0.003272376  0.9411   5400   [      12      15 ]      0.017153   -0.002695307  0.9454     5400       1    8085600 |              F
      12   [       3      20 ]      0.013447   -0.000955402  0.9545  16200   [      12      15 ]      0.023137   -0.001529316  0.9491    16200       1    9087600 |              F
      13   [      26      10 ]      0.083183   -0.004918681  0.9484  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1    9804000 |              F
      14   [      32       8 ]      0.133926   -0.003517999  0.9480  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   10427000 |              F
      15   [       5      19 ]      0.013651   -0.001391443  0.9532  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   11499800 |              F
      16   [      15      14 ]      0.029023   -0.000425824  0.9481  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   12347400 |              F
      17   [      26      10 ]      0.083183   -0.004918681  0.9484  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   13113200 |              F
      18   [      40       5 ]      0.229571   -0.141061657  0.9606  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   13845200 |              F
      19   [      26      10 ]      0.083183   -0.004918681  0.9484  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   14665000 |              F
      20   [       8      17 ]      0.016014   -0.002621229  0.9526  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   16087800 |              F
      21   [      17      13 ]      0.038631   -0.001577840  0.9485  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   16914600 |              F
      22   [      17      13 ]      0.038631   -0.001577840  0.9485  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   17825000 |              F
      23   [      31       8 ]      0.133913   -0.003517999  0.9480  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   18615600 |              F
      24                  NONE                                                               [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   18615600 |                                          -
      24   [      23      11 ]      0.068043   -0.000503369  0.9479  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   19671400 |              F
      25   [      36       6 ]      0.191366   -0.002309074  0.9480  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   20565600 |              F
      26   [      38       6 ]      0.191381   -0.004309036  0.9482  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   21329800 |              F
      27   [      29       9 ]      0.108534   -0.002071601  0.9480  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   22311200 |              F
      28   [      34       7 ]      0.162767   -0.016919670  0.9491  16200   [       3      20 ]      0.013447   -0.000955402  0.9545    16200       1   23691000 |              F
