
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      40       5 ]      0.215084   -0.074632371  0.9193        0.0289         645400 |               F
       2     [      32       8 ]      0.113410   -0.134786353  0.9267        0.0363        1313800 |               F
       3     [      26      10 ]      0.072758   -0.105776609  0.9292        0.0411        1861400 |               F
       4     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0442        2952600 |               F
       5     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0462        4027600 |               F
       6     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0475        4698600 |               F
       7     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0484        5644200 |               F
       8     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0490        6559000 |               F
       9     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0493        7127000 |               F
      10     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0496        7974600 |               F
      11     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0497        8855200 |               F
      12     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0498        9485000 |               F
      13     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0499       10160400 |               F
      14     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0499       11567800 |               F
      15     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0499       12840200 |               F
      16     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       13612600 |               F
      17     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       15020000 |               F
      18     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       15939200 |               F
      19     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       17366400 |               F
      20     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       18674000 |               F
      21     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       19617200 |               F
      22     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       19617200 |               F
      22     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       20362000 |               F
      23     [       5      19 ]      0.013651   -0.001391443  0.9532        0.0500       21380800 |               F
      24     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       22365200 |               F
      25     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       22565600 |               F
      26     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       23665400 |               F
      27     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       24737800 |               F
      28     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       25582400 |               F
      29     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       26268400 |               F
      30     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       27445600 |               F
      31     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       28496400 |               F
      32     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       29563200 |               F
      33     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       30557000 |               F
      34     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       31685200 |               F
      35     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       32523800 |               F
      36     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       33701000 |               F
      37     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       35899600 |               F
      38     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       36723600 |               F
      39     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       37510200 |               F
      40     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       38483800 |               F
      41     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       39551800 |               F
      42     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       40844200 |               F
      43     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       41740800 |               F
      44     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       42641000 |               F
      45     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       43502400 |               F
      46     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       44597600 |               F
      47     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       46763200 |               F
      48     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       47814000 |               F
      49     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       48886400 |               F
      50     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       49965200 |               F
      51     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       51960000 |               F
