
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13      15 ]      0.017532   -0.012301685  0.9692        0.0289         628000 |               F
       2     [      13      15 ]      0.017532   -0.012301685  0.9692        0.0363        1836000 |               F
       3     [      13      15 ]      0.017532   -0.012301685  0.9692        0.0411        3524000 |               F
       4     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0442        4892000 |               F
       5     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0462        5744000 |               F
       6     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0475        6972000 |               F
       7     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0484        8200000 |               F
       8     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0490        9464000 |               F
       9     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0493       10712000 |               F
      10     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0496       12356000 |               F
      11     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0497       15060000 |               F
      12     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0498       16728000 |               F
      13     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0499       19352000 |               F
      14     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0499       21296000 |               F
      15     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0499       23788000 |               F
      16     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       25456000 |               F
      17     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       27648000 |               F
      18     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       29544000 |               F
      19     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       32240000 |               F
      20     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       35092000 |               F
      21     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       37032000 |               F
      22     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       39004000 |               F
      23     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       42040000 |               F
      24     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       42040000 |               F
      24     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       44972000 |               F
      25     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       47072000 |               F
      26     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       49476000 |               F
      27     [       7      18 ]      0.014326   -0.000277861  0.9605        0.0500       51400000 |               F
