
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      44       4 ]      0.263985   -0.034844369  0.9299   2000                                                                                                 860000 |              F
       2   [      38       6 ]      0.180231   -0.001703416  0.9282   2000   [      44       4 ]      0.263985   -0.034844369  0.9299     2000       1    1712000 |              F
       3   [       5      19 ]      0.013838   -0.002514289  0.9616  18000   [      38       6 ]      0.191215   -0.095449844  0.9574    18000       1    3084000 |              F
       4   [      14      15 ]      0.023712   -0.004498216  0.9546  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1    4844000 |              F
       5   [      28       9 ]      0.108100   -0.028777143  0.9515  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1    6212000 |              F
       6   [      28       9 ]      0.108100   -0.028777143  0.9515  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1    8580000 |              F
       7   [       7      18 ]      0.014896   -0.000460683  0.9504  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1    9660000 |              F
       8   [       7      18 ]      0.014896   -0.000460683  0.9504  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   10768000 |              F
       9   [      23      11 ]      0.066976   -0.004895691  0.9499  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   12684000 |              F
      10   [      17      13 ]      0.039358   -0.000563740  0.9490  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   13724000 |              F
      11   [      23      11 ]      0.066976   -0.004895691  0.9499  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   14916000 |              F
      12   [      32       8 ]      0.133771   -0.000466102  0.9487  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   15832000 |              F
      13   [      23      11 ]      0.066976   -0.004895691  0.9499  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   17028000 |              F
      14   [      23      11 ]      0.066976   -0.004895691  0.9499  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   18884000 |              F
      15   [      28       9 ]      0.108100   -0.028777143  0.9515  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   20256000 |              F
      16   [      14      15 ]      0.023712   -0.004498216  0.9546  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   22084000 |              F
      17   [      35       7 ]      0.162341   -0.126346957  0.9582  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   23816000 |              F
      18   [      21      12 ]      0.053360   -0.022036378  0.9549  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   25124000 |              F
      19   [      41       5 ]      0.228781   -0.000471310  0.9487  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   27080000 |              F
      20   [      49       2 ]      0.428166   -0.015914336  0.9503  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   28628000 |              F
      21   [       7      18 ]      0.014896   -0.000460683  0.9504  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   29664000 |              F
      22   [      32       8 ]      0.133771   -0.000466102  0.9487  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   30648000 |              F
      23   [      23      11 ]      0.066976   -0.004895691  0.9499  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   31848000 |              F
      24   [      44       4 ]      0.283697   -0.008939214  0.9491  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   32848000 |              F
      25   [       3      20 ]      0.013396   -0.000647950  0.9547  18000   [       5      19 ]      0.013838   -0.002514289  0.9616    18000       1   33788000 |              F
      26   [      38       6 ]      0.191215   -0.095449844  0.9574  18000   [       3      20 ]      0.013396   -0.000647950  0.9547    18000       1   34788000 |              F
      27   [      28       9 ]      0.108100   -0.028777143  0.9515  18000   [       3      20 ]      0.013396   -0.000647950  0.9547    18000       1   36228000 |              F
      28   [      41       5 ]      0.228781   -0.000471310  0.9487  18000   [       3      20 ]      0.013396   -0.000647950  0.9547    18000       1   38052000 |              F
      29   [       3      20 ]      0.013396   -0.000647950  0.9547  18000   [       3      20 ]      0.013396   -0.000647950  0.9547    18000       1   38992000 |              F
