
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      44       4 ]      0.263985   -0.034844369  0.9299        0.0289         856000 |               F
       2     [      44       4 ]      0.263985   -0.034844369  0.9299        0.0363         856000 |               F
       2     [      44       4 ]      0.263985   -0.034844369  0.9299        0.0363         856000 |               F
       2     [      28       9 ]      0.087457   -0.002391063  0.9402        0.0363        2776000 |               F
       3     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0411        4168000 |               F
       4     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0442        6188000 |               F
       5     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0462        7100000 |               F
       6     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0475        8172000 |               F
       7     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0484        9224000 |               F
       8     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0490       10256000 |               F
       9     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0493       11448000 |               F
      10     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0496       13504000 |               F
      11     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0497       16356000 |               F
      12     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0498       18316000 |               F
      13     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0499       20056000 |               F
      14     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0499       21992000 |               F
      15     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0499       24588000 |               F
      16     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       26188000 |               F
      17     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       28396000 |               F
      18     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       28396000 |               F
      18     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       31020000 |               F
      19     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       33024000 |               F
      20     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       34896000 |               F
      21     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       36776000 |               F
      22     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       39628000 |               F
      23     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       42800000 |               F
      24     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       45588000 |               F
      25     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       47804000 |               F
      26     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       50024000 |               F
