
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      17      13 ]      0.030535   -0.005690757  0.9451        0.0289         728000 |               F
       2     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0363        3084000 |               F
       3     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0411        5112000 |               F
       4     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0442        6992000 |               F
       5     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0462        8192000 |               F
       6     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0475        9176000 |               F
       7     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0484       11180000 |               F
       8     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0490       12372000 |               F
       9     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0493       14244000 |               F
      10     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0496       15472000 |               F
      11     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0497       17024000 |               F
      12     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0498       18844000 |               F
      13     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0499       19952000 |               F
      14     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0499       21200000 |               F
      15     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0499       23240000 |               F
      16     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       26220000 |               F
      17     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       28276000 |               F
      18     [       9      17 ]      0.015926   -0.000375061  0.9599        0.0500       31204000 |               F
      19     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       32988000 |               F
      20     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       35808000 |               F
      21     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       37728000 |               F
      22     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       39928000 |               F
      23     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       41596000 |               F
      24     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       43400000 |               F
      25     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       45508000 |               F
      26     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       48332000 |               F
      27     [       3      20 ]      0.013320   -0.000355540  0.9669        0.0500       51004000 |               F
