
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13      15 ]      0.017532   -0.012301685  0.9692        0.0289         688000 |               F
       2     [      13      15 ]      0.017532   -0.012301685  0.9692        0.0363        2676000 |               F
       3     [      13      15 ]      0.017532   -0.012301685  0.9692        0.0411        3864000 |               F
       4     [      13      15 ]      0.017532   -0.012301685  0.9692        0.0442        5316000 |               F
       5     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0462        7388000 |               F
       6     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0475        8520000 |               F
       7     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0484       10320000 |               F
       8     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0490       12144000 |               F
       9     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0493       13248000 |               F
      10     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0496       15560000 |               F
      11     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0497       16932000 |               F
      12     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0498       18788000 |               F
      13     [      14      15 ]      0.023712   -0.004498216  0.9546        0.0499       20800000 |               F
      14     [      14      15 ]      0.022986   -0.000258208  0.9583        0.0499       22104000 |               F
      15     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0499       23980000 |               F
      16     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       27088000 |               F
      17     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       28816000 |               F
      18     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       30916000 |               F
      19     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       31412000 |               F
      20     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       33352000 |               F
      21     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       35552000 |               F
      22     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       37484000 |               F
      23     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       39684000 |               F
      24     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       42380000 |               F
      25     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       44328000 |               F
      26     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       46796000 |               F
      27     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       49492000 |               F
      28     [       5      19 ]      0.013568   -0.000777196  0.9682        0.0500       52668000 |               F
