
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
      42   [      11      16 ]      0.019363   -0.000946752  0.9491  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   40417600 |              F
      43   [      15      14 ]      0.030722   -0.000810840  0.9485  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   41474000 |              F
      44   [      49       2 ]      0.428432   -0.123025166  0.9611  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   42516400 |              F
      45   [      29       9 ]      0.108534   -0.002071601  0.9480  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   43434000 |              F
      46   [      49       2 ]      0.428432   -0.123025166  0.9611  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   44480800 |              F
      47   [      49       2 ]      0.428432   -0.123025166  0.9611  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   45529800 |              F
      48   [      23      11 ]      0.068043   -0.000503369  0.9479  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   46585600 |              F
      49                  NONE                                                               [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   46585600 |                                          -
      49   [      21      12 ]      0.054733   -0.001415416  0.9482  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   47878200 |              F
      50   [      12      16 ]      0.019643   -0.000204229  0.9480  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   48894600 |              F
      51   [      23      11 ]      0.069340   -0.006641926  0.9496  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   50827800 |              F
