
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      23      11 ]      0.056988   -0.008690471  0.9299        0.0289         545200 |               F
       2     [      23      11 ]      0.056988   -0.008690471  0.9299        0.0363        1495200 |               F
       3     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0411        2379600 |               F
       4     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0442        3489600 |               F
       5     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0462        5130400 |               F
       6     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0475        6036400 |               F
       7     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0484        7100400 |               F
       8     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0490        8204000 |               F
       9     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0493        9082400 |               F
      10     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0496       10558800 |               F
      11     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0497       11462400 |               F
      12     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0498       12566000 |               F
      13     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       12566000 |               F
      13     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       13835600 |               F
      14     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       14694400 |               F
      15     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       16082400 |               F
      16     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       16980000 |               F
      17     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       17877600 |               F
      18     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       19040400 |               F
      19     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       20406800 |               F
      20     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       21251200 |               F
      21     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       22536800 |               F
      22     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       23533600 |               F
      23     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       24530400 |               F
      24     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       25690800 |               F
      25     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       27015600 |               F
      26     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       28382000 |               F
      27     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       29536800 |               F
      28     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       30699600 |               F
      29     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       31854400 |               F
      30     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       32984000 |               F
      31     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       34502400 |               F
      32     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       35809200 |               F
      33     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       37010400 |               F
      34     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       37927200 |               F
      35     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       39106800 |               F
      36     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       40432800 |               F
      37     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       41614800 |               F
      38     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       42794400 |               F
      39     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       44101200 |               F
      40     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       45048800 |               F
      41     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       46701200 |               F
      42     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       48321200 |               F
      43     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       49374800 |               F
      44     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       50219200 |               F
