
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0289        1062400 |               F
       2     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0363        2430400 |               F
       3     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0411        3293200 |               F
       4     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0442        4152000 |               F
       5     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0462        5099600 |               F
       6     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0475        5099600 |               F
       6     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0475        6225600 |               F
       7     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0484        7222400 |               F
       8     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0490        8120000 |               F
       9     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0493        9596400 |               F
      10     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0496       10500000 |               F
      11     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0497       11920400 |               F
      12     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0498       13213200 |               F
      13     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       14506000 |               F
      14     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       15779200 |               F
      15     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       16729200 |               F
      16     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       17908800 |               F
      17     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       19003600 |               F
      18     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       19970400 |               F
      19     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       20928400 |               F
      20     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       22450400 |               F
      21     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       23950800 |               F
      22     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       24856800 |               F
      23     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       25985200 |               F
      24     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       26952000 |               F
      25     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       28114800 |               F
      26     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0500       29641600 |               F
      27     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       30486000 |               F
      28     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       31852000 |               F
      29     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       33139600 |               F
      30     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       33139600 |               F
      30     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       34196800 |               F
      31     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       35254400 |               F
      32     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       35254400 |               F
      32     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       36620000 |               F
      33     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       37802000 |               F
      34     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       39108800 |               F
      35     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       40511200 |               F
      36     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       41646800 |               F
      37     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       42988400 |               F
      38     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       44106000 |               F
      39     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       45304800 |               F
      40     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       46529200 |               F
      41     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       48005600 |               F
      42     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       49062800 |               F
      43     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       50332400 |               F
