
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0289         817600 |               F
       2     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0363        1645200 |               F
       3     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0411        2271200 |               F
       4     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0442        2957200 |               F
       5     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0462        3738000 |               F
       6     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0475        4392000 |               F
       7     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0484        5220400 |               F
       8     [      18      13 ]      0.029996   -0.001039443  0.9386        0.0490        5878000 |               F
       9     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0493        7228800 |               F
      10     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0496        8464800 |               F
      11     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0497        9646800 |               F
      12     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0498        9646800 |               F
      12     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0498        9783600 |               F
      13     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0499       10950400 |               F
      14     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0499       12316800 |               F
      15     [      11      16 ]      0.018119   -0.001738592  0.9499        0.0499       13392000 |               F
      16     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       14339600 |               F
      17     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       15510000 |               F
      18     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       16602000 |               F
      19     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       16602000 |               F
      19     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       17894800 |               F
      20     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       17894800 |               F
      20     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       18864000 |               F
      21     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       19761200 |               F
      22     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       20895600 |               F
      23     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0500       22024000 |               F
      24     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       22868400 |               F
      25     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       24273200 |               F
      26     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       25365200 |               F
      27     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       26824800 |               F
      28     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       27788800 |               F
      29     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       28976000 |               F
      30     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       30036000 |               F
      31     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       30986000 |               F
      32     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       31952800 |               F
      33     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       33132400 |               F
      34     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       34419200 |               F
      35     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       35393200 |               F
      36     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       36719200 |               F
      37     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       38044000 |               F
      38     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       39104000 |               F
      39     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       40304000 |               F
      40     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       41148400 |               F
      41     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       42328000 |               F
      42     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       43172400 |               F
      43     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       44335200 |               F
      44     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       45484000 |               F
      45     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       46776800 |               F
      46     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       47624800 |               F
      47     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       48574800 |               F
      48     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       50492000 |               F
