
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      35       7 ]      0.144069   -0.235673115  0.9933        0.0289        1117200 |               F
       2     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0363        2365600 |               F
       3     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0411        3334800 |               F
       4     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0442        3334800 |               F
       4     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0442        4556800 |               F
       5     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0462        5598400 |               F
       6     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0475        6658400 |               F
       7     [       9      17 ]      0.015691   -0.000613434  0.9488        0.0484        7502400 |               F
       8     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0490        8406000 |               F
       9     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0493        9350800 |               F
      10     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0496       10317600 |               F
      11     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0497       11764000 |               F
      12     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0498       12964000 |               F
      13     [       5      19 ]      0.013319   -0.001529766  0.9534        0.0499       13908800 |               F
      14     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0499       14753200 |               F
      15     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0499       15828800 |               F
      16     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       16786800 |               F
      17     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       17684400 |               F
      18     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       18920400 |               F
      19     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       20029600 |               F
      20     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       21178400 |               F
      21     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       22412000 |               F
      22     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       23498800 |               F
      23     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       24698800 |               F
      24     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       25774000 |               F
      25     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       27010000 |               F
      26     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       28447200 |               F
      27     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       29740000 |               F
      28     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       31103200 |               F
      29     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       32642000 |               F
      30     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       33717200 |               F
      31     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       34804000 |               F
      32     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       36053200 |               F
      33     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       37437600 |               F
      34     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       38567200 |               F
      35     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       39860000 |               F
      36     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       40766000 |               F
      37     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       42170800 |               F
      38     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       43352800 |               F
      39     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       44890400 |               F
      40     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       46215200 |               F
      41     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       47734800 |               F
      42     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       48684800 |               F
      43     [       3      20 ]      0.013243   -0.001970455  0.9598        0.0500       50051200 |               F
