
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0289        2444000 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        4883600 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       10798800 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       15539200 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       15539200 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       20292400 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20292400 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20292400 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       23768400 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       28646400 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       28646400 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       32122800 |               F
