
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0289        2450400 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        2450400 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        4900000 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       10664800 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       10980000 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       10980000 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       15761600 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       15761600 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20502000 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       25372800 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       28847200 |               F
       9     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0493       33587600 |               F
