
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0289        4878000 |               F
       2     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0363        5193200 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411        8662000 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442        8662000 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442        8662000 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       13422800 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       18163200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       21638400 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       21638400 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       26378800 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       26378800 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       29843200 |               F
       9     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0493       33307600 |               F
