
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0289        4853200 |               F
       2     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0363        9692800 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411        9692800 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411        9692800 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       14441600 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       19312400 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       24073200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       28822800 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       33604800 |               F
