
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0289        2449600 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        2449600 |               F
       2     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0363        8338000 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411        8338000 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       13215600 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       13215600 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       16690800 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       16690800 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       16690800 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       20167200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20167200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20167200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20167200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20167200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       25044800 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       29909200 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       29909200 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       29909200 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       33385600 |               F
