
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0289        2449600 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        2449600 |               F
       2     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0363        4893600 |               F
       3     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0411        7344000 |               F
       4     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0442        7344000 |               F
       4     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0442        7344000 |               F
       4     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0442        9794400 |               F
       5     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0462        9794400 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       15696800 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       20478400 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       20478400 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       25288000 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       28763600 |               F
       9     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0493       28763600 |               F
       9     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0493       33513200 |               F
