
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0289        4863200 |               F
       2     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0363        9622000 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       14492000 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       19232400 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       23991200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       23991200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       28730800 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       28730800 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       33578000 |               F
