
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0289        2444000 |               F
       2     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0363        8308400 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411        8308400 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       13192800 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       18056400 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       18056400 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       22815200 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       26290800 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       29766000 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       34514800 |               F
