
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0289        2880000 |               F
       2     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0363        2880000 |               F
       2     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0363        8638000 |               F
       3     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0411       13176000 |               F
       4     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0442       13176000 |               F
       4     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0442       17750000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       22404000 |               F
       6     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0475       22404000 |               F
       6     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0475       27036000 |               F
       7     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0484       31066000 |               F
