
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      17       1 ]      0.212952   -0.000336231  0.9615        0.0289        4034000 |               F
       2     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0363        8636000 |               F
       3     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0411        8636000 |               F
       3     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0411        8636000 |               F
       3     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0411       13210000 |               F
       4     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0442       17772000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       22404000 |               F
       6     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0475       27160000 |               F
       7     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0484       27160000 |               F
       7     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0484       31658000 |               F
