
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0289        2852000 |               F
       2     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0363        5558000 |               F
       3     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0411        8298000 |               F
       4     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0442       11002000 |               F
       5     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0462       13816000 |               F
       6     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0475       16656000 |               F
       7     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0484       16656000 |               F
       7     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0484       19508000 |               F
       8     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0490       19508000 |               F
       8     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0490       22350000 |               F
       9     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0493       25274000 |               F
      10     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0496       25274000 |               F
      10     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0496       25274000 |               F
      10     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0496       28194000 |               F
      11     [      12       4 ]      0.171714   -0.000186513  0.9645        0.0497       34322000 |               F
