
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      17       1 ]      0.212952   -0.000336231  0.9615        0.0289        4036000 |               F
       2     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0363        8498000 |               F
       3     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0411        8498000 |               F
       3     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0411       12528000 |               F
       4     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0442       12528000 |               F
       4     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0442       13064000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       13064000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       13064000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       13064000 |               F
       5     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0462       20878000 |               F
       6     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0475       20878000 |               F
       6     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0475       25304000 |               F
       7     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0484       25840000 |               F
       8     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0490       25840000 |               F
       8     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0490       29872000 |               F
       9     [      12       4 ]      0.172086   -0.000215451  0.9828        0.0493       34372000 |               F
