
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      22      11 ]      0.055830   -0.034138906  0.9462   3000                                                                                                1160000 |              F
       2   [      46       3 ]      0.341374   -0.002894883  0.9427   9000   [      22      11 ]      0.065481   -0.001127413  0.9426     9000       1    3198000 |              F
       3   [      13      15 ]      0.022286   -0.000275202  0.9426   9000   [      22      11 ]      0.065481   -0.001127413  0.9426     9000       1    3978000 |              F
       4   [      31       8 ]      0.121865   -0.081941490  0.9490   9000   [      13      15 ]      0.022286   -0.000275202  0.9426     9000       1    4684000 |              F
       5   [      13      15 ]      0.022286   -0.000275202  0.9426   9000   [      13      15 ]      0.022286   -0.000275202  0.9426     9000       1    5350000 |              F
       6   [      13      15 ]      0.022286   -0.000275202  0.9426   9000   [      13      15 ]      0.022286   -0.000275202  0.9426     9000       1    6198000 |              F
       7   [      11      16 ]      0.018643   -0.000179427  0.9526  27000   [      13      15 ]      0.023411   -0.000035306  0.9522    27000       1    8568000 |              F
       8                  NONE                                                               [      11      16 ]      0.018643   -0.000179427  0.9526    27000       1    8568000 |                                          -
       8   [      11      16 ]      0.018643   -0.000179427  0.9526  27000   [      11      16 ]      0.018643   -0.000179427  0.9526    27000       1    9570000 |              F
       9   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [      11      16 ]      0.018643   -0.000179427  0.9526    27000       1   10688000 |              F
      10   [      31       8 ]      0.133307   -0.000144140  0.9521  27000   [      11      16 ]      0.018643   -0.000179427  0.9526    27000       1   12310000 |              F
      11   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [      11      16 ]      0.018643   -0.000179427  0.9526    27000       1   13456000 |              F
      12   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [      11      16 ]      0.018643   -0.000179427  0.9526    27000       1   14602000 |              F
      13   [       9      17 ]      0.016052   -0.000952071  0.9556  27000   [      11      16 ]      0.018643   -0.000179427  0.9526    27000       1   16168000 |              F
      14   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   17598000 |              F
      15   [      31       8 ]      0.133307   -0.000144140  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   18682000 |              F
      16   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   20134000 |              F
      17   [      31       8 ]      0.133307   -0.000144140  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   21792000 |              F
      18   [      31       8 ]      0.133307   -0.000144140  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   23452000 |              F
      19   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   24578000 |              F
      20   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   25776000 |              F
      21   [      31       8 ]      0.133307   -0.000144140  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   27442000 |              F
      22   [      34       7 ]      0.161647   -0.007331994  0.9532  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   29366000 |              F
      23   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   30668000 |              F
      24   [      46       3 ]      0.344245   -0.045022694  0.9555  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   33056000 |              F
      25   [      52       1 ]      0.582940   -0.005951741  0.9524  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   34326000 |              F
      26   [      34       7 ]      0.161647   -0.007331994  0.9532  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   36250000 |              F
      27   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   37552000 |              F
      28   [      34       7 ]      0.161647   -0.007331994  0.9532  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   39542000 |              F
      29   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   41198000 |              F
      30   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   42338000 |              F
      31   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   44088000 |              F
      32   [      43       4 ]      0.280732   -0.000635860  0.9521  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   46032000 |              F
      33   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   47292000 |              F
      34   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   49042000 |              F
      35   [      22      11 ]      0.066054   -0.000460453  0.9523  27000   [       9      17 ]      0.016052   -0.000952071  0.9556    27000       1   50352000 |              F
