
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [       7      18 ]      0.013669   -0.001247158  0.9444   9000                                                                                                 540000 |              F
       2   [       5      19 ]      0.013402   -0.000110116  0.9530  27000   [       7      18 ]      0.014297   -0.001757067  0.9611    27000       1    2372000 |              F
       3   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    3490000 |              F
       4   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    4554000 |              F
       5   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    6114000 |              F
       6   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    7674000 |              F
       7   [      56       0 ]      1.000000  -11.000000000  1.0000  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    7926000 |              F
       8   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    9230000 |              F
       9   [      52       1 ]      0.582940   -0.005951741  0.9524  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   10500000 |              F
      10   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   11804000 |              F
      11   [       9      17 ]      0.016052   -0.000952071  0.9556  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   13366000 |              F
      12   [      34       7 ]      0.161647   -0.007331994  0.9532  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   15260000 |              F
      13   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   16520000 |              F
      14   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   17634000 |              F
      15   [      21      12 ]      0.052055   -0.000172818  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   19258000 |              F
      16   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   20818000 |              F
      17   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   22186000 |              F
      18   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   23326000 |              F
      19   [      22      11 ]      0.066054   -0.000460453  0.9523  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   24636000 |              F
      20   [      11      16 ]      0.018643   -0.000179427  0.9526  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   26554000 |              F
      21   [       9      17 ]      0.016052   -0.000952071  0.9556  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   28084000 |              F
      22   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   29198000 |              F
      23   [      52       1 ]      0.582940   -0.005951741  0.9524  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   30462000 |              F
      24   [      21      12 ]      0.052055   -0.000172818  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   32048000 |              F
      25   [       3      20 ]      0.013142   -0.000817654  0.9607  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   33360000 |              F
      26   [      35       7 ]      0.161653   -0.007331994  0.9532  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   34486000 |              F
      27   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   35746000 |              F
      28   [      46       3 ]      0.344245   -0.045022694  0.9555  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   38134000 |              F
      29   [      31       8 ]      0.133307   -0.000144140  0.9521  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   39826000 |              F
      30   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   40968000 |              F
      31   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   42198000 |              F
      32   [      21      12 ]      0.052055   -0.000172818  0.9522  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   43784000 |              F
      33   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   45534000 |              F
      34   [      31       8 ]      0.133307   -0.000144140  0.9521  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   47158000 |              F
      35                  NONE                                                               [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   47158000 |                                          -
      35   [      44       4 ]      0.280724   -0.000635860  0.9521  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   48428000 |              F
      36   [      43       4 ]      0.280732   -0.000635860  0.9521  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   50406000 |              F
