
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      22      11 ]      0.055830   -0.034138906  0.9462        0.0289        1082000 |               F
       2     [      22      11 ]      0.055830   -0.034138906  0.9462        0.0363        1670000 |               F
       3     [      13      15 ]      0.017532   -0.011724230  0.9467        0.0411        2608000 |               F
       4     [      13      15 ]      0.017532   -0.011724230  0.9467        0.0442        3262000 |               F
       5     [      13      15 ]      0.022286   -0.000275202  0.9426        0.0462        4194000 |               F
       6     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0475        6048000 |               F
       7     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0484        7074000 |               F
       8     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0490        8220000 |               F
       9     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0493        9912000 |               F
      10     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0496       11364000 |               F
      11     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0497       12772000 |               F
      12     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0498       13914000 |               F
      13     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0499       13914000 |               F
      13     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0499       15570000 |               F
      14     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0499       17162000 |               F
      15     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0499       18234000 |               F
      16     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       20094000 |               F
      17     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       21954000 |               F
      18     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       24310000 |               F
      19     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       26204000 |               F
      20     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       27516000 |               F
      21     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       28780000 |               F
      22     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       30374000 |               F
      23     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       32030000 |               F
      24     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       34416000 |               F
      25     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       36106000 |               F
      26     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       38000000 |               F
      27     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       39750000 |               F
      28     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       42108000 |               F
      29     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       43892000 |               F
      30     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       45162000 |               F
      31     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       46854000 |               F
      32     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       48478000 |               F
      33     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       49820000 |               F
      34     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       51244000 |               F
