
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      44       0 ]      1.000000   -7.000000000  1.0000        0.0289         252000 |               F
       2     [      31       6 ]      0.417266   -0.004082895  0.9527        0.0363        1312000 |               F
       3     [      31       6 ]      0.417266   -0.004082895  0.9527        0.0411        2976000 |               F
       4     [      17      13 ]      0.180649   -0.000177778  0.9525        0.0442        4638000 |               F
       5     [      15      14 ]      0.171361   -0.000173893  0.9528        0.0462        6178000 |               F
       6     [      15      14 ]      0.171361   -0.000173893  0.9528        0.0475        7210000 |               F
       7     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0484        8732000 |               F
       8     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0490       10076000 |               F
       9     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0493       10076000 |               F
       9     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0493       11968000 |               F
      10     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0496       13802000 |               F
      11     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0497       15518000 |               F
      12     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0498       17210000 |               F
      13     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0499       18926000 |               F
      14     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0499       20590000 |               F
      15     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0499       22160000 |               F
      16     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       23596000 |               F
      17     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       25134000 |               F
      18     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       26800000 |               F
      19     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       28336000 |               F
      20     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       30204000 |               F
      21     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       31586000 |               F
      22     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       33126000 |               F
      23     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       33126000 |               F
      23     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       34820000 |               F
      24     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       36360000 |               F
      25     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       39246000 |               F
      26     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       40628000 |               F
      27     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       42168000 |               F
      28     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       43706000 |               F
      29     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       43706000 |               F
      29     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       45972000 |               F
      30     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       47572000 |               F
      31     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       49840000 |               F
      32     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       51376000 |               F
