
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      31       6 ]      0.406517   -0.016702013  0.9223        0.0289         568000 |               F
       2     [      15      14 ]      0.170391   -0.000213915  0.9428        0.0363        1800000 |               F
       3     [      15      14 ]      0.170391   -0.000213915  0.9428        0.0411        1800000 |               F
       3     [      15      14 ]      0.170391   -0.000213915  0.9428        0.0411        2478000 |               F
       4     [      15      14 ]      0.170391   -0.000213915  0.9428        0.0442        2478000 |               F
       4     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0442        3464000 |               F
       5     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0462        5284000 |               F
       6     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0475        5984000 |               F
       7     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0484        7914000 |               F
       8     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0490        9518000 |               F
       9     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0493        9518000 |               F
       9     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0493       10774000 |               F
      10     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0496       10774000 |               F
      10     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0496       12290000 |               F
      11     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0497       13726000 |               F
      12     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0498       15108000 |               F
      13     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0499       16332000 |               F
      14     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0499       16332000 |               F
      14     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0499       17936000 |               F
      15     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0499       19192000 |               F
      16     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       20856000 |               F
      17     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       23124000 |               F
      18     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       24694000 |               F
      19     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       26076000 |               F
      20     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       26076000 |               F
      20     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       27544000 |               F
      21     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       29080000 |               F
      22     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       29080000 |               F
      22     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       30462000 |               F
      23     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       32158000 |               F
      24     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       33372000 |               F
      25     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       34992000 |               F
      26     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       35200000 |               F
      27     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       36770000 |               F
      28     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       38304000 |               F
      29     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       39874000 |               F
      30     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       41592000 |               F
      31     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       43308000 |               F
      32     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       44950000 |               F
      33     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       46554000 |               F
      34     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       48738000 |               F
      35     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       48738000 |               F
      35     [       8      19 ]      0.160328   -0.000098491  0.9550        0.0500       50276000 |               F
