
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.171942   -0.000107888  0.9526        0.0289        2190800 |               F
       2     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0363        8407200 |               F
       3     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0411        8407200 |               F
       3     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0411       13546000 |               F
       4     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0442       18791200 |               F
       5     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0462       18791200 |               F
       5     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0462       22009200 |               F
       6     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0475       29806400 |               F
       7     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0484       34898400 |               F
