
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.171944   -0.000107072  0.9615        0.0289        7793600 |               F
       2     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0363       12994800 |               F
       3     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0411       16217600 |               F
       4     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0442       19440400 |               F
       5     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0462       27237600 |               F
       6     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0475       27237600 |               F
       6     [      12       4 ]      0.171134   -0.000066137  0.9627        0.0475       32482800 |               F
