
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0289         736000 |               F
       2     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0363        1750400 |               F
       3     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0411        2709200 |               F
       4     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0442        3713200 |               F
       5     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0462        4664400 |               F
       6     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0475        4664400 |               F
       6     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0475        5675200 |               F
       7     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0484        7214000 |               F
       8     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0490        8218000 |               F
       9     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0493        8860400 |               F
      10     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0496        9502000 |               F
      11     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0497       10244800 |               F
      12     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0498       12041200 |               F
      13     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0499       12932400 |               F
      14     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0499       13941200 |               F
      15     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0499       15496400 |               F
      16     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       15496400 |               F
      16     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       16784800 |               F
      17     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       18032800 |               F
      18     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       18032800 |               F
      18     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       19150800 |               F
      19     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       20036000 |               F
      20     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       21027600 |               F
      21     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       21027600 |               F
      21     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       22134000 |               F
      22     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       23144000 |               F
      23     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       23144000 |               F
      23     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       24460800 |               F
      24     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       26016000 |               F
      25     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       26016000 |               F
      25     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       27292800 |               F
      26     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       29076000 |               F
      27     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       30324400 |               F
      28     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       31554800 |               F
      29     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       32827600 |               F
      30     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       33839200 |               F
      31     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       35626000 |               F
      32     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       37399600 |               F
      33     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       38712000 |               F
      34     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       40384400 |               F
      35     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       42174400 |               F
      36     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       43196000 |               F
      37     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       43196000 |               F
      37     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       43196000 |               F
      37     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       44432800 |               F
      38     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       45441600 |               F
      39     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       47218400 |               F
      40     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       48461600 |               F
      41     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       49698400 |               F
      42     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       49698400 |               F
      42     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       51488800 |               F
