
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      20      11 ]      0.202315   -0.001371699  0.9383        0.0289         976400 |               F
       2     [      20      11 ]      0.202315   -0.001371699  0.9383        0.0363         976400 |               F
       2     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0363        1714000 |               F
       3     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0411        2236000 |               F
       4     [       9      18 ]      0.159780   -0.000901985  0.9645        0.0442        3210000 |               F
       5     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0462        5011200 |               F
       6     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0475        5993200 |               F
       7     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0484        7293600 |               F
       8     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0490        8524000 |               F
       9     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0493       10093200 |               F
      10     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0496       11421600 |               F
      11     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0497       13189600 |               F
      12     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0498       14964400 |               F
      13     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0499       16236400 |               F
      14     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0499       17564800 |               F
      15     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0499       18568400 |               F
      16     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       19589600 |               F
      17     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       20556000 |               F
      18     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       20556000 |               F
      18     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       22122400 |               F
      19     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       23119600 |               F
      20     [       8      19 ]      0.162983   -0.000427571  0.9556        0.0500       23119600 |               F
      20     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       24166800 |               F
      21     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       26050000 |               F
      22     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       27609200 |               F
      23     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       28052800 |               F
      24     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       30414400 |               F
      25     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       32315200 |               F
      26     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       32315200 |               F
      26     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       33918400 |               F
      27     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       36238400 |               F
      28     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       37818400 |               F
      29     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       39654800 |               F
      30     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       41506400 |               F
      31     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       43184800 |               F
      32     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       45067600 |               F
      33     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       47417600 |               F
      34     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       48924400 |               F
      35     [       8      19 ]      0.159645   -0.000109398  0.9629        0.0500       51543200 |               F
