
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      22      11 ]      0.055830   -0.034138906  0.9462        0.0289         862000 |               F
       2     [      22      11 ]      0.055830   -0.034138906  0.9462        0.0363        1474000 |               F
       3     [      21      12 ]      0.052913   -0.001695522  0.9427        0.0411        2776000 |               F
       4     [      21      12 ]      0.052055   -0.000172818  0.9522        0.0442        3504000 |               F
       5     [      21      12 ]      0.052055   -0.000172818  0.9522        0.0462        5124000 |               F
       6     [      21      12 ]      0.052055   -0.000172818  0.9522        0.0475        6456000 |               F
       7     [      21      12 ]      0.052055   -0.000172818  0.9522        0.0484        7490000 |               F
       8     [      21      12 ]      0.052055   -0.000172818  0.9522        0.0490        8822000 |               F
       9     [      13      15 ]      0.023411   -0.000035306  0.9522        0.0493        9964000 |               F
      10     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0496       11394000 |               F
      11     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0497       12846000 |               F
      12     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0498       14274000 |               F
      13     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0499       15606000 |               F
      14     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0499       17964000 |               F
      15     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0499       17964000 |               F
      15     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0499       19232000 |               F
      16     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       20564000 |               F
      17     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       21954000 |               F
      18     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       22206000 |               F
      19     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       23470000 |               F
      20     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       24614000 |               F
      21     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       26200000 |               F
      22     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       27634000 |               F
      23     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       29316000 |               F
      24     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       30648000 |               F
      25     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       32330000 |               F
      26     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       34248000 |               F
      27     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       35516000 |               F
      28     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       36860000 |               F
      29     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       38088000 |               F
      30     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       40154000 |               F
      31     [       7      18 ]      0.014297   -0.001757067  0.9611        0.0500       41338000 |               F
      32     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       42774000 |               F
      33     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       44584000 |               F
      34     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       46558000 |               F
      35     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       47826000 |               F
      36     [       5      19 ]      0.013402   -0.000110116  0.9530        0.0500       49418000 |               F
      37     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       50730000 |               F
