
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      44       4 ]      0.263985   -0.103903943  0.9371   3000                                                                                                 778000 |              F
       2   [      13      15 ]      0.017532   -0.011724230  0.9467   3000   [      44       4 ]      0.263985   -0.103903943  0.9371     3000       1    1730000 |              F
       3   [       5      19 ]      0.013402   -0.000110116  0.9530  27000   [      13      15 ]      0.023411   -0.000035306  0.9522    27000       1    3586000 |              F
       4   [      46       3 ]      0.344245   -0.045022694  0.9555  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    5974000 |              F
       5                  NONE                                                               [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    5974000 |                                          -
       5   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    7092000 |              F
       6   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    8352000 |              F
       7   [      56       0 ]      1.000000  -11.000000000  1.0000  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1    8604000 |              F
       8   [      22      11 ]      0.066054   -0.000460453  0.9523  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   10232000 |              F
       9   [      35       7 ]      0.161653   -0.007331994  0.9532  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   11266000 |              F
      10                  NONE                                                               [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   11266000 |                                          -
      10   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   12380000 |              F
      11   [       5      19 ]      0.013402   -0.000110116  0.9530  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   13786000 |              F
      12   [       7      18 ]      0.014297   -0.001757067  0.9611  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   15220000 |              F
      13   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   16332000 |              F
      14   [      11      16 ]      0.018643   -0.000179427  0.9526  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   18254000 |              F
      15   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   19534000 |              F
      16   [       7      18 ]      0.014297   -0.001757067  0.9611  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   20964000 |              F
      17   [      34       7 ]      0.161647   -0.007331994  0.9532  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   22858000 |              F
      18   [      11      16 ]      0.018643   -0.000179427  0.9526  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   24812000 |              F
      19   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   26562000 |              F
      20   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   27792000 |              F
      21   [      38       6 ]      0.191215   -0.128760992  0.9710  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   29542000 |              F
      22   [      11      16 ]      0.018643   -0.000179427  0.9526  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   31464000 |              F
      23   [       5      19 ]      0.013402   -0.000110116  0.9530  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   32870000 |              F
      24   [      13      15 ]      0.023411   -0.000035306  0.9522  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   34014000 |              F
      25   [      52       1 ]      0.582940   -0.005951741  0.9524  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   35278000 |              F
      26   [       3      20 ]      0.013142   -0.000817654  0.9607  27000   [       5      19 ]      0.013402   -0.000110116  0.9530    27000       1   36590000 |              F
      27   [       9      17 ]      0.016052   -0.000952071  0.9556  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   38152000 |              F
      28   [      22      11 ]      0.066054   -0.000460453  0.9523  27000   [       3      20 ]      0.013142   -0.000817654  0.9607    27000       1   39460000 |              F
