
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      22      11 ]      0.055830   -0.034138906  0.9462        0.0289         906000 |               F
       2     [      22      11 ]      0.055830   -0.034138906  0.9462        0.0363        1590000 |               F
       3     [      13      15 ]      0.017532   -0.011724230  0.9467        0.0411        2560000 |               F
       4     [      13      15 ]      0.022286   -0.000275202  0.9426        0.0442        3466000 |               F
       5     [      13      15 ]      0.022286   -0.000275202  0.9426        0.0462        4314000 |               F
       6     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0475        6074000 |               F
       7     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0484        7034000 |               F
       8     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0490        8686000 |               F
       9     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0493        9750000 |               F
      10     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0496       11010000 |               F
      11     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0497       12570000 |               F
      12     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0498       13902000 |               F
      13     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0499       15016000 |               F
      14     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0499       16672000 |               F
      15     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0499       18582000 |               F
      16     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       20240000 |               F
      17     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       21834000 |               F
      18     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       23146000 |               F
      19     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       24532000 |               F
      20     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       26090000 |               F
      21     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       27458000 |               F
      22     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       28656000 |               F
      23     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       30550000 |               F
      24     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       32460000 |               F
      25     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       32460000 |               F
      25     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       34020000 |               F
      26     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       35138000 |               F
      27     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       36448000 |               F
      28     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       37854000 |               F
      29     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       39794000 |               F
      30     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       41358000 |               F
      31     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       42628000 |               F
      32     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       44188000 |               F
      33     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       45640000 |               F
      34     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       47736000 |               F
      35     [       3      20 ]      0.013142   -0.000817654  0.9607        0.0500       50124000 |               F
