
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      21      12 ]      0.040453   -0.004724971  0.9397   5400                                                                                                 600800 |              F
       2   [      26      10 ]      0.074815   -0.014811141  0.9402   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    1491600 |              F
       3   [      21      12 ]      0.040453   -0.004724971  0.9397   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    2146000 |              F
       4   [      35       7 ]      0.149808   -0.000519708  0.9379   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    3014800 |              F
       5   [      21      12 ]      0.040453   -0.004724971  0.9397   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    3639200 |              F
       6   [      35       7 ]      0.149808   -0.000519708  0.9379   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    4454400 |              F
       7   [      35       7 ]      0.149808   -0.000519708  0.9379   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    5269600 |              F
       8   [      35       7 ]      0.149808   -0.000519708  0.9379   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    6125200 |              F
       9   [      44       4 ]      0.267683   -0.264704751  0.9656   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    6734000 |              F
      10   [      21      12 ]      0.040453   -0.004724971  0.9397   5400   [      21      12 ]      0.040453   -0.004724971  0.9397     5400       1    7370800 |              F
      11   [      56       0 ]      1.000000  -11.000000000  1.0000  16200   [      21      12 ]      0.053051   -0.000845649  0.9480    16200       1    7784000 |              F
      12   [      44       4 ]      0.284571   -0.002037721  0.9479  16200   [      21      12 ]      0.053051   -0.000845649  0.9480    16200       1    8734800 |              F
      13   [      44       4 ]      0.284571   -0.002037721  0.9479  16200   [      21      12 ]      0.053051   -0.000845649  0.9480    16200       1    9697200 |              F
      14   [      26      10 ]      0.084535   -0.002374785  0.9481  16200   [      21      12 ]      0.053051   -0.000845649  0.9480    16200       1   10861200 |              F
      15   [       6      18 ]      0.013923   -0.001026430  0.9502  16200   [      21      12 ]      0.053051   -0.000845649  0.9480    16200       1   11686000 |              F
      16   [      26      10 ]      0.084535   -0.002374785  0.9481  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   12854400 |              F
      17   [      46       3 ]      0.348851   -0.050648363  0.9507  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   13952400 |              F
      18   [      56       0 ]      1.000000  -11.000000000  1.0000  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   14103200 |              F
      19   [      35       7 ]      0.162892   -0.001287282  0.9479  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   15242400 |              F
      20   [      26      10 ]      0.084535   -0.002374785  0.9481  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   16416400 |              F
      21   [      35       7 ]      0.162892   -0.001287282  0.9479  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   17539200 |              F
      22   [      26      10 ]      0.084535   -0.002374785  0.9481  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   18708000 |              F
      23   [      46       3 ]      0.348851   -0.050648363  0.9507  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   19827200 |              F
      24   [       5      19 ]      0.013257   -0.000491402  0.9496  16200   [       6      18 ]      0.013923   -0.001026430  0.9502    16200       1   20618400 |              F
      25   [      44       4 ]      0.284571   -0.002037721  0.9479  16200   [       5      19 ]      0.013257   -0.000491402  0.9496    16200       1   21568800 |              F
      26   [      56       0 ]      1.000000  -11.000000000  1.0000  16200   [       5      19 ]      0.013257   -0.000491402  0.9496    16200       1   21719600 |              F
      27   [       5      19 ]      0.013257   -0.000491402  0.9496  16200   [       5      19 ]      0.013257   -0.000491402  0.9496    16200       1   22510800 |              F
      28   [      14      15 ]      0.022506   -0.000132085  0.9479  16200   [       5      19 ]      0.013257   -0.000491402  0.9496    16200       1   23920800 |              F
      29   [      21      12 ]      0.053051   -0.000845649  0.9480  16200   [       5      19 ]      0.013257   -0.000491402  0.9496    16200       1   25665200 |              F
