
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      35       7 ]      0.149808   -0.000519708  0.9379        0.0289         857600 |               F
       2     [      14      15 ]      0.022506   -0.000132085  0.9479        0.0363        2544800 |               F
       3     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0411        3369600 |               F
       4     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0442        4492400 |               F
       5     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0462        5204000 |               F
       6     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0475        5204000 |               F
       6     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0475        6614000 |               F
       7     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0484        7712000 |               F
       8     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0490        8628800 |               F
       9     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0493        9486800 |               F
      10     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0496       10633200 |               F
      11     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0497       11727200 |               F
      12     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0498       12602000 |               F
      13     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       13313600 |               F
      14     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       14206400 |               F
      15     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       15100400 |               F
      16     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       15100400 |               F
      16     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       16078000 |               F
      17     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       16903600 |               F
      18     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       17869200 |               F
      19     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       19278400 |               F
      20     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       20736400 |               F
      21     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       21546400 |               F
      22     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       22709600 |               F
      23     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       24107200 |               F
      24     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       25045600 |               F
      25     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       26808400 |               F
      26     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       27928400 |               F
      27     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       29049200 |               F
      28     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       30225200 |               F
      29     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       32344800 |               F
      30     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       33470400 |               F
      31     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       34591600 |               F
      32     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       35713200 |               F
      33     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       36900000 |               F
      34     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       38309200 |               F
      35     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       39020800 |               F
      36     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       40118800 |               F
      37     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       41853200 |               F
      38     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       43972800 |               F
      39     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       45159600 |               F
      40     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       45310400 |               F
      41     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       47084800 |               F
      42     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       48840800 |               F
      43     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       49961200 |               F
      44     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       50786000 |               F
