
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0289         600800 |               F
       2     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0363        1491600 |               F
       3     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0411        2146000 |               F
       4     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0442        3014800 |               F
       5     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0462        3639200 |               F
       6     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0475        4454400 |               F
       7     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0484        5269600 |               F
       8     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0490        6125200 |               F
       9     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0493        6734000 |               F
      10     [      21      12 ]      0.040453   -0.004724971  0.9397        0.0496        7370800 |               F
      11     [      21      12 ]      0.053051   -0.000845649  0.9480        0.0497        7784000 |               F
      12     [      21      12 ]      0.053051   -0.000845649  0.9480        0.0498        8734800 |               F
      13     [      21      12 ]      0.053051   -0.000845649  0.9480        0.0499        9697200 |               F
      14     [      21      12 ]      0.053051   -0.000845649  0.9480        0.0499       10861200 |               F
      15     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0499       11686000 |               F
      16     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       12854400 |               F
      17     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       13952400 |               F
      18     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       14103200 |               F
      19     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       15242400 |               F
      20     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       16416400 |               F
      21     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       17539200 |               F
      22     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       18708000 |               F
      23     [       6      18 ]      0.013923   -0.001026430  0.9502        0.0500       19827200 |               F
      24     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       20618400 |               F
      25     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       21568800 |               F
      26     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       21719600 |               F
      27     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       22510800 |               F
      28     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       23920800 |               F
      29     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       25665200 |               F
      30     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       26630800 |               F
      31     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       27489600 |               F
      32     [       5      19 ]      0.013257   -0.000491402  0.9496        0.0500       28947600 |               F
      33     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       29659200 |               F
      34     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       29810000 |               F
      35     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       31947600 |               F
      36     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       33395200 |               F
      37     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       34190800 |               F
      38     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       35337200 |               F
      39     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       36428000 |               F
      40     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       37842400 |               F
      41     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       39005600 |               F
      42     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       39830400 |               F
      43     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       40976800 |               F
      44     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       42102400 |               F
      45     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       42102400 |               F
      45     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       44222000 |               F
      46     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       45407600 |               F
      47     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       47152000 |               F
      48     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       48938000 |               F
      49     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       50408400 |               F
