
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [       5       5 ]      0.198982   -0.001886596  0.9596        0.0289        2354400 |               F
       2     [       5       5 ]      0.198982   -0.001886596  0.9596        0.0363        5164000 |               F
       3     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0411       12647600 |               F
       4     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0442       16374400 |               F
       5     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0462       16374400 |               F
       5     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0462       16374400 |               F
       5     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0462       16374400 |               F
       5     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0462       19905200 |               F
       6     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0475       23555200 |               F
       7     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0484       27086000 |               F
       8     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0490       27086000 |               F
       8     [       5       5 ]      0.200364   -0.000056495  0.9611        0.0490       30856400 |               F
