
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0289        1911800 |               F
       2     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0363        5127400 |               F
       3     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0411        6778600 |               F
       4     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0442        8743200 |               F
       5     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0462       12445800 |               F
       6     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0475       15115400 |               F
       7     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0484       18333200 |               F
       8     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0490       19983200 |               F
       9     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0493       21631600 |               F
      10     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0496       25052600 |               F
      11     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0497       28270400 |               F
      12     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0498       29849000 |               F
      13     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0499       31679200 |               F
      14     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0499       33527600 |               F
      15     [       4      22 ]      0.293853   -0.052200056  0.9496        0.0499       35378200 |               F
      16     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       39423000 |               F
      17     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       45560400 |               F
      18     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       50501400 |               F
      19     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       55482000 |               F
      20     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       61179000 |               F
      21     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       66636600 |               F
      22     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       71477200 |               F
      23     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       71477200 |               F
      23     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       76361400 |               F
      24     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       80828400 |               F
      25     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       85636000 |               F
      26     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       91264800 |               F
      27     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500       97755000 |               F
      28     [       4      22 ]      0.287281   -0.001930537  0.9659        0.0500      102573200 |               F
