
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      16      14 ]      0.172397   -0.000991801  0.9294        0.0289         550800 |               F
       2     [      16      14 ]      0.172397   -0.000991801  0.9294        0.0363        1177200 |               F
       3     [      14      15 ]      0.159249   -0.000820573  0.9411        0.0411        2697600 |               F
       4     [      14      15 ]      0.163876   -0.000374730  0.9588        0.0442        3876000 |               F
       5     [      14      15 ]      0.163876   -0.000374730  0.9588        0.0462        6144800 |               F
       6     [      14      15 ]      0.163876   -0.000374730  0.9588        0.0475        7716000 |               F
       7     [      14      15 ]      0.163876   -0.000374730  0.9588        0.0484        9174400 |               F
       8     [      14      15 ]      0.163876   -0.000374730  0.9588        0.0490       10745600 |               F
       9     [      14      15 ]      0.163876   -0.000374730  0.9588        0.0493       12452400 |               F
      10     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0496       14413600 |               F
      11     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0497       16629600 |               F
      12     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0498       18337600 |               F
      13     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0499       19890800 |               F
      14     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0499       21564400 |               F
      15     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0499       21564400 |               F
      15     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0499       23199600 |               F
      16     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       23621600 |               F
      17     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       25108400 |               F
      18     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       27342400 |               F
      19     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       27342400 |               F
      19     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       29629200 |               F
      20     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       31199200 |               F
      21     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       32624000 |               F
      22     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       34243600 |               F
      23     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       36564000 |               F
      24     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       38264800 |               F
      25     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       39874400 |               F
      26     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       42124000 |               F
      27     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       43941200 |               F
      28     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       45904800 |               F
      29     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       47334400 |               F
      30     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       48914000 |               F
      31     [       8      19 ]      0.159450   -0.000088719  0.9619        0.0500       53213200 |               F
