
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3946000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8109200 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411        8109200 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411        8109200 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       10908400 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       15001600 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       18600400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       18600400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       18600400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       22199200 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       22199200 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       26211200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       26211200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       30289200 |               F
