
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4094400 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        4094400 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        4094400 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8149600 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411        8149600 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       10904400 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       10904400 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       10904400 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       10904400 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       13659200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       17692800 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       21704800 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       21704800 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       24504000 |               F
       8     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0490       26805600 |               F
       9     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0493       26805600 |               F
       9     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0493       32558400 |               F
