
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        3982000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3982000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3982000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        3982000 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        7964000 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411       11954400 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       11954400 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       16023600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       16023600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       20035600 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       20035600 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       20035600 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       20035600 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       24069200 |               F
       7     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0484       24069200 |               F
       7     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0484       28028400 |               F
       8     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0490       28028400 |               F
       8     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0490       32097600 |               F
