
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      19       0 ]      1.000000   -0.500000000  1.0000        0.0289         596400 |               F
       2     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0363        6349200 |               F
       3     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0411       12102000 |               F
       4     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0442       16670000 |               F
       5     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0462       16670000 |               F
       5     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0462       22072800 |               F
       6     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0475       22072800 |               F
       6     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0475       26532800 |               F
       7     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0484       26532800 |               F
       7     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0484       26532800 |               F
       7     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0484       31858400 |               F
