
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1                 NONE                                                                0.0289              0 |                                            -
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4096800 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8087200 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411       11707600 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       15719600 |               F
       5     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0462       18021200 |               F
       6     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0475       18021200 |               F
       6     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0475       18021200 |               F
       6     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0475       18021200 |               F
       6     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0475       22525600 |               F
       7     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0484       26985600 |               F
       8     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0490       32762400 |               F
