
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4093200 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        4093200 |               F
       2     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0363        6956000 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411        6956000 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411        6956000 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411        6956000 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       11034000 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       11034000 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       13833200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       13833200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       17926400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       20725600 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       20725600 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       24423200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       28520000 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       32118800 |               F
