
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4071600 |               F
       2     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0363        6869600 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       10881600 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       14974800 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       19032400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       19032400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       23044400 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       23044400 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       23044400 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       27141200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       27141200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       27141200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       31262400 |               F
