
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      19       0 ]      1.000000   -0.500000000  1.0000        0.0289         596400 |               F
       2     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0363        6313600 |               F
       3     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0411        6910000 |               F
       4     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0442        6910000 |               F
       4     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0442        7506400 |               F
       5     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0462       13157600 |               F
       6     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0475       18957200 |               F
       7     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0484       18957200 |               F
       7     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0484       24644400 |               F
       8     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0490       29104400 |               F
       9     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0493       29104400 |               F
       9     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0493       29104400 |               F
       9     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0493       29104400 |               F
       9     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0493       34755600 |               F
