
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14      15 ]      0.022506   -0.000132085  0.9479        0.0289        1464400 |               F
       2     [      14      15 ]      0.022506   -0.000132085  0.9479        0.0363        2338400 |               F
       3     [      14      15 ]      0.022506   -0.000132085  0.9479        0.0411        3507200 |               F
       4     [      14      15 ]      0.022506   -0.000132085  0.9479        0.0442        4468800 |               F
       5     [      14      15 ]      0.022506   -0.000132085  0.9479        0.0462        5446400 |               F
       6     [      14      15 ]      0.022506   -0.000132085  0.9479        0.0475        6305200 |               F
       7     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0484        7017600 |               F
       8     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0490        8144000 |               F
       9     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0493        9602000 |               F
      10     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0496       10722800 |               F
      11     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0497       12137200 |               F
      12     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0498       13091600 |               F
      13     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       13996800 |               F
      14     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       13996800 |               F
      14     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       13996800 |               F
      14     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       14116800 |               F
      15     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0499       15237200 |               F
      16     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       16199600 |               F
      17     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       17295600 |               F
      18     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       18160000 |               F
      19     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       18966000 |               F
      20     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       20095200 |               F
      21     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       21834400 |               F
      22     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       21834400 |               F
      22     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       22955600 |               F
      23     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       22955600 |               F
      23     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       23813600 |               F
      24     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       24976800 |               F
      25     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       26418800 |               F
      26     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       27357600 |               F
      27     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       28069200 |               F
      28     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       29192400 |               F
      29     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       30931600 |               F
      30     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       32682000 |               F
      31     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       33514000 |               F
      32     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       34660400 |               F
      33     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       36058000 |               F
      34     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       36863600 |               F
      35     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       37720800 |               F
      36     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       39852400 |               F
      37     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       40642800 |               F
      38     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       41762800 |               F
      39     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       42626800 |               F
      40     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       44366000 |               F
      41     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       45534800 |               F
      42     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       46703600 |               F
      43     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       48101200 |               F
      44     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       49887200 |               F
      45     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       50598800 |               F
