
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      26      10 ]      0.074815   -0.014811141  0.9402        0.0289         898800 |               F
       2     [      26      10 ]      0.074815   -0.014811141  0.9402        0.0363         898800 |               F
       2     [      11      16 ]      0.018010   -0.000169336  0.9480        0.0363        2045200 |               F
       3     [      11      16 ]      0.018010   -0.000169336  0.9480        0.0411        2903200 |               F
       4     [      11      16 ]      0.018010   -0.000169336  0.9480        0.0442        4071600 |               F
       5     [      11      16 ]      0.018010   -0.000169336  0.9480        0.0462        5486000 |               F
       6     [      11      16 ]      0.018010   -0.000169336  0.9480        0.0475        6654400 |               F
       7     [      11      16 ]      0.018010   -0.000169336  0.9480        0.0484        7829600 |               F
       8     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0490        8643600 |               F
       9     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0493        9502400 |               F
      10     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0496       10366800 |               F
      11     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0497       11234400 |               F
      12     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0498       12420000 |               F
      13     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0499       13278800 |               F
      14     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0499       14244400 |               F
      15     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0499       15406800 |               F
      16     [       8      17 ]      0.015684   -0.001615668  0.9505        0.0500       16264800 |               F
      17     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       16976400 |               F
      18     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       16976400 |               F
      18     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       17782000 |               F
      19     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       18740800 |               F
      20     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       19565600 |               F
      21     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       19685600 |               F
      22     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       20797200 |               F
      23     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       22206400 |               F
      24     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       23327600 |               F
      25     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       25096800 |               F
      26     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       26231600 |               F
      27     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       26231600 |               F
      27     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       27209200 |               F
      28     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       28942800 |               F
      29     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       30698800 |               F
      30     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       32146400 |               F
      31     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       33874400 |               F
      32     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       35949200 |               F
      33     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       37072000 |               F
      34     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       38828000 |               F
      35     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       40226000 |               F
      36     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       41346000 |               F
      37     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       43108800 |               F
      38     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       45228400 |               F
      39     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       46696800 |               F
      40     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       47788000 |               F
      41     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       48612800 |               F
      42     [       3      20 ]      0.013218   -0.003355695  0.9668        0.0500       50070800 |               F
