
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4093200 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8162400 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411       12144400 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       16307600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       20376800 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       24322800 |               F
       7     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0484       24322800 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       27185600 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       30784400 |               F
