
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4047600 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        4047600 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8144400 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411       12216000 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       15015200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       15015200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       15015200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       17814400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       21886000 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       25979200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       30072400 |               F
