
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        3990400 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8090000 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       10910800 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       10910800 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14980000 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       19074400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       23167600 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       23167600 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       26865200 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       29686000 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       29686000 |               F
       9     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0493       31987600 |               F
