
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0289        2798000 |               F
       2     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0363        6855600 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       10553200 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       14499200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       14499200 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       18592400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       18592400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       18592400 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       22661600 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       25438000 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       29384000 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       29384000 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       29384000 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       29384000 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       33462000 |               F
