
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4071600 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8166000 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       11028800 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       11028800 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       11028800 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       11028800 |               F
       4     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0442       13330400 |               F
       5     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0462       13330400 |               F
       5     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0462       19026000 |               F
       6     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0475       24824400 |               F
       7     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0484       24824400 |               F
       7     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0484       30650800 |               F
