
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4069200 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8081200 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411       12225200 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       12225200 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       12225200 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       15845600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       19942400 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       19942400 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       19942400 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       19942400 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       19942400 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       23541200 |               F
       7     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0484       23541200 |               F
       7     [      14       3 ]      0.173123   -0.000037508  0.9629        0.0484       25842800 |               F
       8     [      12       4 ]      0.172122   -0.000100806  0.9729        0.0490       30302800 |               F
