
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0289        2754800 |               F
       2     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0363        2754800 |               F
       2     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0363        6802400 |               F
       3     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0411       10748400 |               F
       4     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0442       14869600 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       18964000 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       23217200 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       26816000 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       26816000 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       26816000 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       29636800 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       33731200 |               F
