
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      40       5 ]      0.215084   -0.074632371  0.9193        0.0289         722400 |               F
       2     [      26      10 ]      0.072758   -0.105776609  0.9292        0.0363        1318400 |               F
       3     [      26      10 ]      0.072758   -0.105776609  0.9292        0.0411        1876800 |               F
       4     [      26      10 ]      0.072758   -0.105776609  0.9292        0.0442        1876800 |               F
       4     [      26      10 ]      0.072758   -0.105776609  0.9292        0.0442        2548400 |               F
       5     [       5      19 ]      0.013879   -0.000691243  0.9507        0.0462        3623600 |               F
       6     [       5      19 ]      0.013879   -0.000691243  0.9507        0.0475        4746200 |               F
       7     [       5      19 ]      0.013879   -0.000691243  0.9507        0.0484        5766800 |               F
       8     [       5      19 ]      0.013879   -0.000691243  0.9507        0.0490        6809200 |               F
       9     [       5      19 ]      0.013879   -0.000691243  0.9507        0.0493        7424200 |               F
      10     [       5      19 ]      0.013879   -0.000691243  0.9507        0.0496        8036600 |               F
      11     [       5      19 ]      0.013879   -0.000691243  0.9507        0.0497        9029000 |               F
      12     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0498       10009000 |               F
      13     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0499       10649800 |               F
      14     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0499       11273600 |               F
      15     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0499       12226400 |               F
      16     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       12971200 |               F
      17     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       14020200 |               F
      18     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       14665600 |               F
      19     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       16506400 |               F
      20     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       17324000 |               F
      21     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       19164800 |               F
      22     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       19164800 |               F
      22     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       20363200 |               F
      23     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       21196600 |               F
      24     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       21914600 |               F
      25     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       22117600 |               F
      26     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       22322800 |               F
      27     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       23508000 |               F
      28     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       24564800 |               F
      29     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       25721000 |               F
      30     [       3      20 ]      0.013320   -0.001270541  0.9569        0.0500       27509400 |               F
      31     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       28522800 |               F
      32     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       29282400 |               F
      33     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       29487600 |               F
      34     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       30384000 |               F
      35     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       31782200 |               F
      36     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       32965000 |               F
      37     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       33891200 |               F
      38     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       34952800 |               F
      39     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       35993000 |               F
      40     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       36965200 |               F
      41     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       37937200 |               F
      42     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       39293200 |               F
      43     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       40649200 |               F
      44     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       42049200 |               F
      45     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       43078000 |               F
      46     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       44042600 |               F
      47     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       45082800 |               F
      48     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       45285400 |               F
      49     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       46207400 |               F
      50     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       47389600 |               F
      51     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       48434200 |               F
      52     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       49501200 |               F
      53     [       5      19 ]      0.013153   -0.001275001  0.9609        0.0500       50484400 |               F
